feature,matrix,scope,status,n_series,n_candidates,input_file,png_file,csv_file,message
spectral_entropy,family_decomposition,global,ok,1986,8,mcm_input_family_decomposition_global_rel_naive.csv,mcm_matrix_family_decomposition_global_rel_naive.png,mcm_matrix_family_decomposition_global_rel_naive.csv,
spectral_entropy,family_decomposition,low,ok,665,8,mcm_input_family_decomposition_low_rel_naive.csv,mcm_matrix_family_decomposition_low_rel_naive.png,mcm_matrix_family_decomposition_low_rel_naive.csv,
spectral_entropy,family_decomposition,medium,ok,663,8,mcm_input_family_decomposition_medium_rel_naive.csv,mcm_matrix_family_decomposition_medium_rel_naive.png,mcm_matrix_family_decomposition_medium_rel_naive.csv,
spectral_entropy,family_decomposition,high,ok,667,8,mcm_input_family_decomposition_high_rel_naive.csv,mcm_matrix_family_decomposition_high_rel_naive.png,mcm_matrix_family_decomposition_high_rel_naive.csv,
spectral_entropy,family_decomposition,monthly_global,ok,999,8,mcm_input_family_decomposition_monthly_global_rel_naive.csv,mcm_matrix_family_decomposition_monthly_global_rel_naive.png,mcm_matrix_family_decomposition_monthly_global_rel_naive.csv,
spectral_entropy,family_decomposition,monthly_low,ok,333,8,mcm_input_family_decomposition_monthly_low_rel_naive.csv,mcm_matrix_family_decomposition_monthly_low_rel_naive.png,mcm_matrix_family_decomposition_monthly_low_rel_naive.csv,
spectral_entropy,family_decomposition,monthly_medium,ok,332,8,mcm_input_family_decomposition_monthly_medium_rel_naive.csv,mcm_matrix_family_decomposition_monthly_medium_rel_naive.png,mcm_matrix_family_decomposition_monthly_medium_rel_naive.csv,
spectral_entropy,family_decomposition,monthly_high,ok,334,8,mcm_input_family_decomposition_monthly_high_rel_naive.csv,mcm_matrix_family_decomposition_monthly_high_rel_naive.png,mcm_matrix_family_decomposition_monthly_high_rel_naive.csv,
spectral_entropy,family_decomposition,quarterly_global,ok,987,8,mcm_input_family_decomposition_quarterly_global_rel_naive.csv,mcm_matrix_family_decomposition_quarterly_global_rel_naive.png,mcm_matrix_family_decomposition_quarterly_global_rel_naive.csv,
spectral_entropy,family_decomposition,quarterly_low,ok,332,8,mcm_input_family_decomposition_quarterly_low_rel_naive.csv,mcm_matrix_family_decomposition_quarterly_low_rel_naive.png,mcm_matrix_family_decomposition_quarterly_low_rel_naive.csv,
spectral_entropy,family_decomposition,quarterly_medium,ok,331,8,mcm_input_family_decomposition_quarterly_medium_rel_naive.csv,mcm_matrix_family_decomposition_quarterly_medium_rel_naive.png,mcm_matrix_family_decomposition_quarterly_medium_rel_naive.csv,
spectral_entropy,family_decomposition,quarterly_high,ok,333,8,mcm_input_family_decomposition_quarterly_high_rel_naive.csv,mcm_matrix_family_decomposition_quarterly_high_rel_naive.png,mcm_matrix_family_decomposition_quarterly_high_rel_naive.csv,
spectral_entropy,family_only,global,ok,1986,4,mcm_input_family_only_global_rel_naive.csv,mcm_matrix_family_only_global_rel_naive.png,mcm_matrix_family_only_global_rel_naive.csv,
spectral_entropy,family_only,low,ok,665,4,mcm_input_family_only_low_rel_naive.csv,mcm_matrix_family_only_low_rel_naive.png,mcm_matrix_family_only_low_rel_naive.csv,
spectral_entropy,family_only,medium,ok,663,4,mcm_input_family_only_medium_rel_naive.csv,mcm_matrix_family_only_medium_rel_naive.png,mcm_matrix_family_only_medium_rel_naive.csv,
spectral_entropy,family_only,high,ok,667,4,mcm_input_family_only_high_rel_naive.csv,mcm_matrix_family_only_high_rel_naive.png,mcm_matrix_family_only_high_rel_naive.csv,
spectral_entropy,family_only,monthly_global,ok,999,4,mcm_input_family_only_monthly_global_rel_naive.csv,mcm_matrix_family_only_monthly_global_rel_naive.png,mcm_matrix_family_only_monthly_global_rel_naive.csv,
spectral_entropy,family_only,monthly_low,ok,333,4,mcm_input_family_only_monthly_low_rel_naive.csv,mcm_matrix_family_only_monthly_low_rel_naive.png,mcm_matrix_family_only_monthly_low_rel_naive.csv,
spectral_entropy,family_only,monthly_medium,ok,332,4,mcm_input_family_only_monthly_medium_rel_naive.csv,mcm_matrix_family_only_monthly_medium_rel_naive.png,mcm_matrix_family_only_monthly_medium_rel_naive.csv,
spectral_entropy,family_only,monthly_high,ok,334,4,mcm_input_family_only_monthly_high_rel_naive.csv,mcm_matrix_family_only_monthly_high_rel_naive.png,mcm_matrix_family_only_monthly_high_rel_naive.csv,
spectral_entropy,family_only,quarterly_global,ok,987,4,mcm_input_family_only_quarterly_global_rel_naive.csv,mcm_matrix_family_only_quarterly_global_rel_naive.png,mcm_matrix_family_only_quarterly_global_rel_naive.csv,
spectral_entropy,family_only,quarterly_low,ok,332,4,mcm_input_family_only_quarterly_low_rel_naive.csv,mcm_matrix_family_only_quarterly_low_rel_naive.png,mcm_matrix_family_only_quarterly_low_rel_naive.csv,
spectral_entropy,family_only,quarterly_medium,ok,331,4,mcm_input_family_only_quarterly_medium_rel_naive.csv,mcm_matrix_family_only_quarterly_medium_rel_naive.png,mcm_matrix_family_only_quarterly_medium_rel_naive.csv,
spectral_entropy,family_only,quarterly_high,ok,333,4,mcm_input_family_only_quarterly_high_rel_naive.csv,mcm_matrix_family_only_quarterly_high_rel_naive.png,mcm_matrix_family_only_quarterly_high_rel_naive.csv,
